url	slug	status	start_time	end_time	p0	p1	p2	error
http://localhost:1420/capability-boundaries	capability-boundaries	done	2026-04-09T22:17:41+01:00	2026-04-09T22:22:22+01:00	0	3	5	
http://localhost:1420/model-routing	model-routing	done	2026-04-09T22:22:22+01:00	2026-04-09T22:26:17+01:00	0	3	8	
http://localhost:1420/ab-validation	ab-validation	done	2026-04-09T22:26:17+01:00	2026-04-09T22:30:33+01:00	0	3	6	
http://localhost:1420/browser-agent	browser-agent	done	2026-04-09T22:30:33+01:00	2026-04-09T22:34:17+01:00	0	3	5	
http://localhost:1420/governance-oracle	governance-oracle	done	2026-04-09T22:34:17+01:00	2026-04-09T22:38:09+01:00	0	3	5	
http://localhost:1420/token-economy	token-economy	done	2026-04-09T22:38:11+01:00	2026-04-09T22:43:35+01:00	0	3	7	
http://localhost:1420/governed-control	governed-control	done	2026-04-09T22:43:35+01:00	2026-04-09T22:47:39+01:00	0	4	8	
http://localhost:1420/world-sim	world-sim	done	2026-04-09T22:47:39+01:00	2026-04-09T22:52:41+01:00	0	4	6	
http://localhost:1420/perception	perception	done	2026-04-09T22:52:41+01:00	2026-04-09T22:57:05+01:00	0	2	6	
http://localhost:1420/agent-memory	agent-memory	done	2026-04-09T22:57:05+01:00	2026-04-09T23:03:07+01:00	0	3	5	
http://localhost:1420/external-tools	external-tools	done	2026-04-09T23:03:07+01:00	2026-04-09T23:08:24+01:00	0	1	5	
http://localhost:1420/collab-protocol	collab-protocol	done	2026-04-09T23:08:24+01:00	2026-04-09T23:12:35+01:00	0	3	5	
http://localhost:1420/self-rewrite	self-rewrite	done	2026-04-09T23:12:35+01:00	2026-04-09T23:16:33+01:00	0	3	4	
http://localhost:1420/self-improvement	self-improvement	done	2026-04-09T23:16:33+01:00	2026-04-09T23:20:44+01:00	0	3	4	
http://localhost:1420/consciousness	consciousness	done	2026-04-09T23:20:44+01:00	2026-04-09T23:24:46+01:00	0	4	2	
http://localhost:1420/design	design	done	2026-04-09T23:24:48+01:00	2026-04-09T23:28:28+01:00	0	1	5	
http://localhost:1420/media	media	done	2026-04-09T23:28:28+01:00	2026-04-09T23:31:45+01:00	0	5	3	
http://localhost:1420/dreams	dreams	done	2026-04-09T23:31:45+01:00	2026-04-09T23:35:37+01:00	0	3	4	
http://localhost:1420/notes	notes	done	2026-04-09T23:35:37+01:00	2026-04-09T23:41:36+01:00	0	2	6	
http://localhost:1420/workflows	workflows	done	2026-04-09T23:41:36+01:00	2026-04-09T23:49:14+01:00	0	2	7	
http://localhost:1420/time-machine	time-machine	done	2026-04-09T23:49:14+01:00	2026-04-09T23:55:27+01:00	0	3	6	
http://localhost:1420/timeline-viewer	timeline-viewer	done	2026-04-09T23:55:27+01:00	2026-04-09T23:59:49+01:00	0	1	8	
http://localhost:1420/temporal	temporal	done	2026-04-09T23:59:49+01:00	2026-04-10T00:03:26+01:00	0	1	6	
http://localhost:1420/world-simulation	world-simulation	done	2026-04-10T00:03:26+01:00	2026-04-10T00:07:48+01:00	0	0	7	
http://localhost:1420/civilization	civilization	done	2026-04-10T00:07:48+01:00	2026-04-10T00:11:45+01:00	0	2	5	
http://localhost:1420/computer-control	computer-control	done	2026-04-10T00:11:47+01:00	2026-04-10T00:17:59+01:00	0	2	5	
http://localhost:1420/login	login	done	2026-04-10T00:17:59+01:00	2026-04-10T00:22:34+01:00	0	2	6	
http://localhost:1420/workspaces	workspaces	done	2026-04-10T00:22:34+01:00	2026-04-10T00:26:25+01:00	0	2	6	
http://localhost:1420/admin-console	admin-console	done	2026-04-10T00:26:25+01:00	2026-04-10T00:30:39+01:00	0	2	6	
http://localhost:1420/admin-users	admin-users	done	2026-04-10T00:30:39+01:00	2026-04-10T00:34:37+01:00	0	2	8	
http://localhost:1420/admin-fleet	admin-fleet	done	2026-04-10T00:34:37+01:00	2026-04-10T00:39:25+01:00	0	2	6	
http://localhost:1420/admin-compliance	admin-compliance	done	2026-04-10T00:39:25+01:00	2026-04-10T00:44:14+01:00	0	1	8	
http://localhost:1420/admin-policies	admin-policies	done	2026-04-10T00:44:14+01:00	2026-04-10T00:50:42+01:00	0	1	7	
http://localhost:1420/admin-health	admin-health	done	2026-04-10T00:50:42+01:00	2026-04-10T00:56:18+01:00	0	2	6	
http://localhost:1420/usage-billing	usage-billing	done	2026-04-10T00:56:18+01:00	2026-04-10T01:00:55+01:00	0	2	5	
http://localhost:1420/telemetry	telemetry	done	2026-04-10T01:00:57+01:00	2026-04-10T01:04:27+01:00	0	0	6	
http://localhost:1420/cluster	cluster	done	2026-04-10T01:04:27+01:00	2026-04-10T01:08:58+01:00	0	0	5	
http://localhost:1420/chain	chain	done	2026-04-10T01:08:58+01:00	2026-04-10T01:12:55+01:00	0	0	6	
http://localhost:1420/policies	policies	done	2026-04-10T01:12:55+01:00	2026-04-10T01:19:14+01:00	0	0	8	
http://localhost:1420/learn	learn	done	2026-04-10T01:19:14+01:00	2026-04-10T01:24:48+01:00	0	0	8	
http://localhost:1420/agent-store	agent-store	done	2026-04-10T01:24:48+01:00	2026-04-10T01:29:36+01:00	0	0	9	
http://localhost:1420/knowledge	knowledge	done	2026-04-10T01:29:36+01:00	2026-04-10T01:35:23+01:00	0	0	8	
http://localhost:1420/projects	projects	done	2026-04-10T01:35:23+01:00	2026-04-10T01:41:06+01:00	0	0	8	
http://localhost:1420/chat	chat	done	2026-04-10T01:41:06+01:00	2026-04-10T01:46:38+01:00	0	1	6	
http://localhost:1420/command	command	done	2026-04-10T01:46:38+01:00	2026-04-10T01:50:26+01:00	0	0	7	
http://localhost:1420/mission-control	mission-control	done	2026-04-10T01:50:28+01:00	2026-04-10T01:55:08+01:00	0	0	3	
http://localhost:1420/publish	publish	done	2026-04-10T01:55:08+01:00	2026-04-10T01:59:52+01:00	0	1	8	
http://localhost:1420/marketplace-browser	marketplace-browser	done	2026-04-10T01:59:52+01:00	2026-04-10T02:04:43+01:00	0	1	9	
http://localhost:1420/immune	immune	done	2026-04-10T02:04:43+01:00	2026-04-10T02:09:35+01:00	0	1	11	
http://localhost:1420/identity	identity	done	2026-04-10T02:09:35+01:00	2026-04-10T02:15:28+01:00	0	2	6	
