nexus-integration	PASS	 Checking nexus-protocols v9.0.0 (/home/nexus/NEXUS/nexus-os/protocols) Checking nexus-integration v9.0.0 (/home/nexus/NEXUS/nexus-os/tests/integration) Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.97s 
nexus-integrations	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-kernel	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.26s 
nexus-llama-bridge	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.19s 
nexus-marketplace	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-metering	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-perception	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-persistence	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.18s 
nexus-predictive-router	PASS	 Checking nexus-predictive-router v0.1.0 (/home/nexus/NEXUS/nexus-os/crates/nexus-predictive-router) Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.37s 
nexus-protocols	PASS	 Checking nexus-protocols v9.0.0 (/home/nexus/NEXUS/nexus-os/protocols) Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.81s 
nexus-research	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-sdk	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.29s 
nexus-self-update	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-software-factory	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-telemetry	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.21s 
nexus-tenancy	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-token-economy	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.18s 
nexus-workflows	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-world-simulation	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.18s 
screen-poster-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.26s 
self-improve-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.27s 
social-poster-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.30s 
web-builder-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.27s 
workflow-studio-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.29s 
